measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Spain,Both,All ages,COVID-19,Percent,2020,0.1250907735075067,0.13067867529831959,0.1188142511182992
Deaths,Spain,Both,All ages,COVID-19,Rate,2020,132.94863888832154,139.13107482556748,126.39529862034425
Deaths,Spain,Both,15-49 years,COVID-19,Percent,2020,0.14808839251790828,0.1565466484824816,0.13967776849949262
Deaths,Spain,Both,15-49 years,COVID-19,Rate,2020,10.472980693195073,11.087217234812822,9.876074329952969
Deaths,Fiji,Both,All ages,COVID-19,Percent,2021,0.12137997407498144,0.23451136044512813,0.06369667293714965
Deaths,Fiji,Both,All ages,COVID-19,Rate,2021,124.30105232778038,246.76347699868228,75.3110899042616
Deaths,Fiji,Both,15-49 years,COVID-19,Percent,2021,0.1230642374710204,0.23602898376144987,0.06414846944781911
Deaths,Fiji,Both,15-49 years,COVID-19,Rate,2021,38.86828298509213,77.22013579790885,23.558042129034764
Deaths,Indonesia,Both,All ages,COVID-19,Percent,2020,0.04637774262183102,0.09108498974585301,0.015114572388536626
Deaths,Indonesia,Both,All ages,COVID-19,Rate,2020,32.66731658767365,67.05438075018706,10.621371597885522
Deaths,Indonesia,Both,15-49 years,COVID-19,Percent,2020,0.04990613766137714,0.09678731650898588,0.016150054662648468
Deaths,Indonesia,Both,15-49 years,COVID-19,Rate,2020,10.159490506383985,20.825411318958167,3.3183289370996536
Deaths,China,Both,All ages,COVID-19,Percent,2021,9.170442215509475e-05,0.00033204978543569435,7.303893605064585e-06
Deaths,China,Both,All ages,COVID-19,Rate,2021,0.07470418307965725,0.28280001271643856,0.006004600369894806
Deaths,China,Both,15-49 years,COVID-19,Percent,2021,4.6553542070144766e-05,0.00016275913624150566,3.6229925135675804e-06
Deaths,China,Both,15-49 years,COVID-19,Rate,2021,0.005551803961824545,0.020052687931127196,0.00043729548017051997
Deaths,Australia,Both,All ages,COVID-19,Percent,2021,0.019510710963105485,0.022926656933848315,0.015796207012987513
Deaths,Australia,Both,All ages,COVID-19,Rate,2021,13.253704472398077,15.534149131607327,10.739786782633383
Deaths,Australia,Both,15-49 years,COVID-19,Percent,2021,0.017440274238415085,0.02047205610880849,0.01414155265793837
Deaths,Australia,Both,15-49 years,COVID-19,Rate,2021,1.4305547688697868,1.6766779564685779,1.1592285090166905
Deaths,Spain,Both,All ages,COVID-19,Percent,2021,0.08774308177326215,0.09086457181190842,0.08410820798237383
Deaths,Spain,Both,All ages,COVID-19,Rate,2021,85.81686594445745,88.6982271878134,82.58488194593444
Deaths,Spain,Both,15-49 years,COVID-19,Percent,2021,0.1244554763315069,0.13004804702141484,0.11847864045018863
Deaths,Spain,Both,15-49 years,COVID-19,Rate,2021,8.807386484786601,9.211047139686146,8.408360612064074
Deaths,Mexico,Both,All ages,COVID-19,Percent,2020,0.2511904129605203,0.30109289004653766,0.20456539932923634
Deaths,Mexico,Both,All ages,COVID-19,Rate,2020,212.12286969275576,254.596607117723,172.99276785572152
Deaths,Mexico,Both,15-49 years,COVID-19,Percent,2020,0.20561027970921647,0.255843457777738,0.15942392174184616
Deaths,Mexico,Both,15-49 years,COVID-19,Rate,2020,57.01969616104186,70.94697344083018,44.1817286251881
Deaths,Russian Federation,Both,All ages,COVID-19,Percent,2020,0.0778271065211054,0.08869033770328398,0.06756852821975141
Deaths,Russian Federation,Both,All ages,COVID-19,Rate,2020,112.22262898689685,127.89484270654756,97.39192601375314
Deaths,Russian Federation,Both,15-49 years,COVID-19,Percent,2020,0.05298203001856563,0.06427946513282533,0.043153564182962637
Deaths,Russian Federation,Both,15-49 years,COVID-19,Rate,2020,18.195048467081733,22.069366768122116,14.809403392571195
Deaths,Chile,Both,All ages,COVID-19,Percent,2020,0.16944552230979434,0.17700275222434497,0.16194355107567376
Deaths,Chile,Both,All ages,COVID-19,Rate,2020,112.95868489361132,118.06204026503825,108.00838610174942
Deaths,Chile,Both,15-49 years,COVID-19,Percent,2020,0.15201486425750585,0.1591493705112906,0.1447269545651821
Deaths,Chile,Both,15-49 years,COVID-19,Rate,2020,17.427140443783042,18.275500293660414,16.5827747118633
Deaths,Afghanistan,Both,All ages,COVID-19,Percent,2020,0.13681296215563613,0.1845406724503008,0.10001259404911834
Deaths,Afghanistan,Both,All ages,COVID-19,Rate,2020,112.96994366714993,150.72004611552816,85.35455359360262
Deaths,Afghanistan,Both,15-49 years,COVID-19,Percent,2020,0.12953622259252137,0.17745821291819394,0.09182964393985941
Deaths,Afghanistan,Both,15-49 years,COVID-19,Rate,2020,67.64314663008975,90.4546793457522,51.0688912957526
Deaths,South Africa,Both,All ages,COVID-19,Percent,2020,0.16470633528340523,0.1689908336877064,0.16057279892511578
Deaths,South Africa,Both,All ages,COVID-19,Rate,2020,191.81394897169562,191.94080464461936,191.61484124575173
Deaths,South Africa,Both,15-49 years,COVID-19,Percent,2020,0.08868404180589788,0.09161295240132769,0.0854201236282718
Deaths,South Africa,Both,15-49 years,COVID-19,Rate,2020,54.933362541418894,54.955219163982406,54.89835859062428
Deaths,Bangladesh,Both,All ages,COVID-19,Percent,2020,0.11538526795040895,0.15493766516355376,0.09024699196043821
Deaths,Bangladesh,Both,All ages,COVID-19,Rate,2020,74.25486178181218,100.06615911592222,63.662496244780215
Deaths,Bangladesh,Both,15-49 years,COVID-19,Percent,2020,0.12274797182596711,0.1667302448714713,0.09415838081361227
Deaths,Bangladesh,Both,15-49 years,COVID-19,Rate,2020,18.638962057375718,25.122020218254107,15.987976926188763
Deaths,Mexico,Both,All ages,COVID-19,Percent,2021,0.2434204558918067,0.31372885838614617,0.18155953121763788
Deaths,Mexico,Both,All ages,COVID-19,Rate,2021,209.88743484506733,269.7354999007185,156.6487667704974
Deaths,Mexico,Both,15-49 years,COVID-19,Percent,2021,0.22762598917268329,0.29876288219790664,0.1660557828234987
Deaths,Mexico,Both,15-49 years,COVID-19,Rate,2021,66.41206699361565,87.21962586266336,48.41248688120753
Deaths,South Africa,Both,All ages,COVID-19,Percent,2021,0.20406647407923978,0.21027694604231537,0.19828594930009558
Deaths,South Africa,Both,All ages,COVID-19,Rate,2021,263.2503146119888,263.61615123653115,262.8100400850001
Deaths,South Africa,Both,15-49 years,COVID-19,Percent,2021,0.11695431450352999,0.12164768908925154,0.11228621743786228
Deaths,South Africa,Both,15-49 years,COVID-19,Rate,2021,78.65668575582752,78.74696075273285,78.56083119599127
Deaths,Canada,Both,All ages,COVID-19,Percent,2020,0.09497818964111646,0.10014721016024833,0.08959038874480674
Deaths,Canada,Both,All ages,COVID-19,Rate,2020,80.08132654925663,84.45913508473951,75.43375053703917
Deaths,Canada,Both,15-49 years,COVID-19,Percent,2020,0.10311367118225977,0.10894169716419728,0.09716719235260068
Deaths,Canada,Both,15-49 years,COVID-19,Rate,2020,11.392234347795462,12.087162161041146,10.701911422543082
Deaths,India,Both,All ages,COVID-19,Percent,2020,0.09036495917156429,0.09778279160467321,0.08210344592088653
Deaths,India,Both,All ages,COVID-19,Rate,2020,68.6771185506763,72.66079819100513,64.50467827413775
Deaths,India,Both,15-49 years,COVID-19,Percent,2020,0.08689477018058848,0.09444535261727179,0.07883209451616284
Deaths,India,Both,15-49 years,COVID-19,Rate,2020,18.61817241782217,19.671095738159156,17.52064923751279
Deaths,Egypt,Both,All ages,COVID-19,Percent,2021,0.15518803668227835,0.20496748573345921,0.10152547597877695
Deaths,Egypt,Both,All ages,COVID-19,Rate,2021,103.96988609236827,134.62148530750758,68.96838754624139
Deaths,Egypt,Both,15-49 years,COVID-19,Percent,2021,0.20740539663491617,0.27214637200922376,0.13888191299542113
Deaths,Egypt,Both,15-49 years,COVID-19,Rate,2021,39.630329773954486,51.35934508336006,26.31299625956633
Deaths,Republic of Korea,Both,All ages,COVID-19,Percent,2020,0.004192490245367065,0.006635532853353818,0.002745988787389124
Deaths,Republic of Korea,Both,All ages,COVID-19,Rate,2020,2.4454652263131464,3.86506591874109,1.5961472550392886
Deaths,Republic of Korea,Both,15-49 years,COVID-19,Percent,2020,0.0030257643727112818,0.004793031953819258,0.0019724226916848268
Deaths,Republic of Korea,Both,15-49 years,COVID-19,Rate,2020,0.23966782410085258,0.37868684340569025,0.15533005095472277
Deaths,Republic of Korea,Both,All ages,COVID-19,Percent,2021,0.030509517395563224,0.033786325632003456,0.027871359617808
Deaths,Republic of Korea,Both,All ages,COVID-19,Rate,2021,19.582923327866578,21.79151344191648,18.064957705592633
Deaths,Republic of Korea,Both,15-49 years,COVID-19,Percent,2021,0.030876368871360374,0.03425222710233605,0.028197393647189078
Deaths,Republic of Korea,Both,15-49 years,COVID-19,Rate,2021,2.531555118553591,2.8170282209635586,2.3352969316609946
Deaths,Ethiopia,Both,All ages,COVID-19,Percent,2020,0.09184750521026892,0.10250241184212722,0.08164805863653128
Deaths,Ethiopia,Both,All ages,COVID-19,Rate,2020,55.318861411303324,59.79286868211445,51.352427819751995
Deaths,Ethiopia,Both,15-49 years,COVID-19,Percent,2020,0.09876672860195432,0.11383508190152536,0.08615847382362084
Deaths,Ethiopia,Both,15-49 years,COVID-19,Rate,2020,24.108445879925178,26.069179771832285,22.386504697237342
Deaths,Nigeria,Both,All ages,COVID-19,Percent,2020,0.04936410582805025,0.05590620243191462,0.042164147980803784
Deaths,Nigeria,Both,All ages,COVID-19,Rate,2020,38.63730895990837,42.25435843765667,35.625862475744206
Deaths,Nigeria,Both,15-49 years,COVID-19,Percent,2020,0.06810061942036821,0.0810128494631519,0.055302900511908296
Deaths,Nigeria,Both,15-49 years,COVID-19,Rate,2020,18.018581613927974,19.728041993043835,16.611753592261444
Deaths,Fiji,Both,All ages,COVID-19,Percent,2020,0.009688537567526984,0.02099980202387731,0.0024811564774188223
Deaths,Fiji,Both,All ages,COVID-19,Rate,2020,8.084884015990664,16.85940237147822,2.008245541987652
Deaths,Fiji,Both,15-49 years,COVID-19,Percent,2020,0.010264432887096294,0.022410987240608426,0.002640674934658905
Deaths,Fiji,Both,15-49 years,COVID-19,Rate,2020,2.641566807886684,5.51776530910519,0.6545063574758788
Deaths,Afghanistan,Both,All ages,COVID-19,Percent,2021,0.13290425539721293,0.16553131674836583,0.100996124928225
Deaths,Afghanistan,Both,All ages,COVID-19,Rate,2021,115.34186959448274,135.41091836641465,90.28330844965085
Deaths,Afghanistan,Both,15-49 years,COVID-19,Percent,2021,0.11439002213219424,0.14169903127057212,0.08656231236796526
Deaths,Afghanistan,Both,15-49 years,COVID-19,Rate,2021,69.76309869321484,82.07224709181047,54.554454396786674
Deaths,Canada,Both,All ages,COVID-19,Percent,2021,0.08234767407590841,0.08729134620629338,0.07669650228193191
Deaths,Canada,Both,All ages,COVID-19,Rate,2021,68.29405926905544,72.1699429226124,63.612245968448065
Deaths,Canada,Both,15-49 years,COVID-19,Percent,2021,0.07556285762667211,0.08006969785698151,0.07042571211197352
Deaths,Canada,Both,15-49 years,COVID-19,Rate,2021,7.911319852059828,8.360349466384516,7.368936326028479
Deaths,Germany,Both,All ages,COVID-19,Percent,2020,0.0342244761966764,0.038085231990757626,0.03175154569276398
